no.,recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,timing,img_src,meal_category,flavor_type,simple_ingredients
83,Tart Tropical Parfait,5 mins,,5 mins,1,1 parfait,"1 (5.3 ounce) container low-fat vanilla Greek yogurt, ½ cup chopped kiwi, 2 tablespoons chopped macadamia nuts, 1 teaspoon agave nectar, 1 teaspoon chopped fresh mint","Spoon 1/3 cup yogurt into a 6- to 8-ounce parfait glass or jar. Top yogurt with 1/2 of the kiwi, 1/2 of the macadamia nuts, 1/2 of the agave. Repeat layers with the remaining yogurt, kiwi, nuts, and agave. Top parfait with mint.",5,https://www.allrecipes.com/recipe/285020/tart-tropical-parfait/,"Prep Time: 5 mins, Total Time: 5 mins, Servings: 1, Yield: 1 parfait",https://www.allrecipes.com/thmb/RsFsSIETjBv5YlmZoZQbnMlLBT4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9314803-c93055df2b164632a81c231ca4a35882.jpg,Dessert,Light,"Yogurt, Kiwi, Macadamia, Mint"
84,Watermelon Rind Candy,1 hrs,15 mins,10 days 1 hrs 15 mins,100,14 to 1 - pint jars,"2 ½ gallons water, 1 tablespoon salt, 2 gallons watermelon rind, white part only, cut into 1-inch cubes, 1 quart cider vinegar, 26 cups white sugar, divided, 28  whole cloves, 14 (3 inch) cinnamon stick","Bring the water and salt to a boil in a large, enamel stockpot over high heat. Add the watermelon rinds, and return to a boil. Cook for 20 minutes, then drain the rinds in a colander. Bring the vinegar to a boil with 6 cups of sugar. Remove from the heat, stir in the watermelon rinds, cover, and let stand overnight.
The following day, remove the rinds from the syrup using a slotted spoon, and place them into a clean bowl. Set the stockpot onto the stove over high heat, add 4 cups of sugar, and return the syrup to a boil. Once the sugar has dissolved, remove the stockpot from the heat, and stir in the watermelon rinds, cover, and let stand overnight.
On day 3, repeat the process above, using only 2 cups of sugar: remove the rinds from the syrup using a slotted spoon, and place them into a clean bowl. Set the stockpot onto the stove over high heat, add 2 cups of sugar, and return the syrup to a boil. Once the sugar has dissolved, remove the stockpot from the heat, and stir in the watermelon rinds, cover, and let stand overnight. Repeat step 3 every day for 6 more days.
On day 10, sterilize the canning jars, rings and lids in boiling water. Pack the watermelon rinds into sterilized jars, making sure there are no spaces or air pockets on the sides. Add two cloves and one cinnamon stick to each jar. Return the syrup to a boil, and fill the jars to within 1/4 inch of the top. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with boiling water. Carefully lower jars into pot using a holder. Leave a 2 inch space between jars. Pour in more boiling water if necessary, until tops of jars are covered by 2 inches of water. Bring water to a full boil, cover the pot, and process for 10 to 15 minutes. Remove the stockpot from the heat, and let the jars stand in the water for 2 hours off of the heat.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area for 2 weeks before opening.",5,https://www.allrecipes.com/recipe/168521/watermelon-rind-candy/,"Prep Time: 1 hrs, Cook Time: 15 mins, Additional Time: 10 days, Total Time: 10 days 1 hrs 15 mins, Servings: 100, Yield: 14 to 1 - pint jars",https://www.allrecipes.com/thmb/3meyZb4gFMKx1NIhYanopxt8puo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/461817-ac6b5ab2bdd84edbb4e4445580265c20.jpg,Dessert,Sweet,"Water, Salt, Watermelon, Vinegar, Sugar, Clove, Cinnamon"
85,Watermelon Fish Snack for Kids,5 mins,,5 mins,1,1 serving,"1 small slice (0.5 oz) triangular slice of watermelon, 5  fresh blueberries, 1  small triangular slice of papaya","Place watermelon triangle on a plate with the pointed side facing to the left. Place 1 blueberry into the triangle for the fish eye. Place the other 4 blueberries above the fish's mouth as if they are bubbles coming up.
Cut off a tiny curved sliver of papaya for the mouth. Flip the papaya triangle over and place at the end of the fish as the tail fin.",5,https://www.allrecipes.com/recipe/271094/watermelon-fish-snack-for-kids/,"Prep Time: 5 mins, Total Time: 5 mins, Servings: 1, Yield: 1 serving",https://www.allrecipes.com/thmb/pWdkn0S6ZFZGmTs71z_OUKQlfvo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6443776-1369ff68018640deace2a4862fd93413.jpg,Dessert,Light,"Watermelon, Blueberry, Papaya"
86,Scandinavian Pear Tart,25 mins,25 mins,3 hrs 50 mins,8,1 9-inch tart,"  cooking spray, ½ cup white sugar, 3 tablespoons butter, softened, ¾ cup all-purpose flour, ⅓ cup finely chopped almonds","Preheat the oven to 425 degrees F (220 degrees C). Coat a 9-inch fluted tart pan with a removable bottom with cooking spray.
Beat sugar and butter together in a small bowl until crumbly. Beat in flour and almonds. Press over the bottom and up the sides of the prepared tart pan.
Beat cream cheese in another small bowl until smooth. Beat in sugar, egg, and vanilla extract. Spread over the crust. Arrange pear slices over the cream cheese layer.
Combine sugar, cardamom, and cinnamon in a small bowl. Sprinkle over the pears.
Bake in the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C). Continue baking until filling is set and an instant-read thermometer inserted into the center reads 160 degrees F (71 degrees C), 15 to 20 minutes.
Cool tart on a wire rack for 1 hour. Refrigerate for at least 2 hours before slicing.",5,https://www.allrecipes.com/recipe/276769/scandinavian-pear-tart/,"Prep Time: 25 mins, Cook Time: 25 mins, Additional Time: 3 hrs, Total Time: 3 hrs 50 mins, Servings: 8, Yield: 1 9-inch tart",https://www.allrecipes.com/thmb/jAN3oDk35AlEvxawtyqAR0azl8k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7282942-aa6d9a57b7f64863985903e48ed74f83.jpg,Dessert,Sweet,"Sugar, Butter, Flour, Almond"
87,Easy Grilled Nectarines,5 mins,5 mins,10 mins,4,4 servings,"4  fresh nectarines, pitted and halved, 2 tablespoons melted unsalted butter, 4 tablespoons brown sugar","Brush each nectarine half with 1/4 tablespoon melted butter and sprinkle with 1/2 tablespoon brown sugar.
Preheat the grill on medium heat. Place nectarines into an aluminum grill dish or directly onto the grill. Grill until lightly browned, turning occasionally, 3 to 5 minutes.",5,https://www.allrecipes.com/recipe/263769/easy-grilled-nectarines/,"Prep Time: 5 mins, Cook Time: 5 mins, Total Time: 10 mins, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/sZ_mvu_RFHGck0ZrHgAnzB_MlaY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6897825-a50b9b70bde6401885bef6aab1a42ffe.jpg,Dessert,Sweet,"Nectarine, Butter, Sugar"
88,Black Forest Cheesecakes,20 mins,20 mins,2 hrs 40 mins,12,,"12  chocolate sandwich cookies with creme filling, 2 (8 ounce) packages cream cheese, softened, ¾ cup white sugar, ⅓ cup baking cocoa, 1 teaspoon vanilla extract, 2 large eggs, 1 (21 ounce) can cherry pie filling, ½ cup whipped topping","Preheat the oven to 325 degrees F (160 degrees C). Line muffin cups with paper or foil liners.
Remove top from each sandwich cookie; crush tops and set aside. Place creme-topped cookies in the prepared muffin cups, creme-side up.
Beat cream cheese, sugar, cocoa, and vanilla in a large bowl with an electric mixer until fluffy. Mix in eggs until blended. Fill the prepared muffin cups 3/4 full; sprinkle 1/4 cup reserved cookie crumbs on top. Discard remaining crumbs or save for another use.
Bake in the preheated oven until set, 20 to 25 minutes. Cool completely; cover and refrigerate for at least 2 hours.
Top each cheesecake with 2 tablespoons cherry filling and a dollop of whipped topping just before serving.









",5,https://www.allrecipes.com/recipe/222647/black-forest-cheesecakes/,"Prep Time: 20 mins, Cook Time: 20 mins, Additional Time: 2 hrs, Total Time: 2 hrs 40 mins, Servings: 12",https://www.allrecipes.com/thmb/ZGN7fzid5jxn1t87NmUZLtawps8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1006021-bc051ab4436149c6b819c7355682eae0.jpg,Dessert,Sweet,"Cookie, Cream cheese, Sugar, Cocoa, Vanilla, Egg, Cherry, Whipped cream"
89,Paleo Persimmon Pie,30 mins,,30 mins,8,8 slices,"½ teaspoon olive oil, 3 cups pecans, 20  pitted dates, ¼ cup agave nectar, 6  ripe persimmons, 2 tablespoons chopped pecans, 1 teaspoon ground cinnamon, for garnish","Lightly grease an 8-inch pie pan with olive oil.
Blend 3 cups pecans and dates in a food processor until finely ground, about 1 minute. Pour agave nectar over nut mixture and process until fully incorporated, about 30 seconds. Press nut mixture evenly into prepared pie pan.
Peel and pit persimmons, then puree in food processor until smooth. Pour over crust and smooth out. Garnish with chopped pecans and cinnamon.",5,https://www.allrecipes.com/recipe/228719/paleo-persimmon-pie/,"Prep Time: 30 mins, Total Time: 30 mins, Servings: 8, Yield: 8 slices",https://www.allrecipes.com/thmb/pjIE-wIHBsekrfdpIJdeniUVLis=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1569009-268177fbb6c3446bb32fbf9c3f1bfd76.jpg,Dessert,Light,"Olive oil, Pecan, Date, Cinnamon"
90,Pavlova with Winter Fruits,30 mins,1 hrs,2 hrs 30 mins,3,3 pavlovas,"4  egg whites, at room temperature, ¾ cup white sugar, ¼ cup superfine sugar, 1 ½ teaspoons cornstarch, ½ teaspoon orange blossom water (Optional), ½ teaspoon white vinegar","Preheat the oven to 250 degrees F (120 degrees C). Line a large baking sheet with parchment paper. Invert a small bowl onto the parchment paper and trace the rim with a pencil. Repeat twice more. Flip parchment paper over.
Beat egg whites in a large bowl with an electric mixer until soft peaks begin to form. Gradually add white sugar, with the mixer running. Whisk superfine sugar and cornstarch in a small bowl. Gradually beat into the meringue. Continue beating meringue until stiff, glossy peaks form. Beat in orange blossom water and vinegar.
Spoon meringue into the traced circles. Make the borders higher than the center, to leave room for the filling.
Bake meringues in the preheated oven until firm and dry to the touch, about 1 hour.
Meanwhile, make the lemon curd. Fill a medium saucepan with 1 inch of water and bring to a bare simmer.
Whisk lemon juice, lemon zest, sugar, egg yolks, and salt together in a glass bowl. Set the bowl over the simmering water. Cook, whisking constantly, until curd foams, then thickens, about 10 minutes. Remove the bowl from the simmering water. Gradually whisk in coconut oil until melted and incorporated.
Strain the curd through a fine-mesh sieve; discard solids left in the strainer. Press a sheet of plastic wrap directly onto the surface to prevent a skin from forming. Transfer to the refrigerator.
Turn off oven and keep meringues inside until completely dry, about 1 hour.
Combine heavy cream, confectioners' sugar, and orange blossom water in a bowl. Beat with an electric mixer until soft peaks form.
Spoon lemon curd into the center of the cooled meringues. Mound whipped cream over the curd. Arrange grapefruit, orange, and persimmon slices on top. Sprinkle pomegranate seeds over the top.",5,https://www.allrecipes.com/recipe/269274/pavlova-with-winter-fruits/,"Prep Time: 30 mins, Cook Time: 1 hrs, Additional Time: 1 hrs, Total Time: 2 hrs 30 mins, Servings: 3, Yield: 3 pavlovas",https://www.allrecipes.com/thmb/VYFNwxZnUrmuhK2CL21ue7WFB_Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6007485-f9b711c631e6434ab3ea8f05388e5e36.jpg,Dessert,Sweet,"Egg, Sugar, Cornstarch, Orange, Vinegar"
91,Blueberry Tea Cocktail,5 mins,,5 mins,1,,"1 fluid ounce amaretto liqueur, 1 fluid ounce orange liqueur (such as Grand Marnier®), 4 fluid ounces orange pekoe tea, or more to taste",Combine amaretto and orange liqueurs in a brandy snifter or glass. Pour in hot tea.,5,https://www.allrecipes.com/recipe/222557/blueberry-tea-cocktail/,"Prep Time: 5 mins, Total Time: 5 mins, Servings: 1",https://www.allrecipes.com/thmb/cGvNp5aZCAzVfKiM0UxJ5L22h3E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1476401-c330ac76bd6e430b97dc27a8093ed21f.jpg,Drinks,Light,"Orange, Tea,Water"
92,Flavored Water,15 mins,,2 hrs 15 mins,8,2 liters,"½ small cucumber, sliced thin, ½  nectarine, pitted and chopped, ½  lemon, sliced, ½  lemon, juiced, ½  lime, sliced, ½  lime, juiced, 4 slices ginger root, peeled, or more to taste, 10  melissa leaves (lemon balm), or more to taste, 2 quarts water, 1 drop liquid stevia, or to taste","Place cucumber, nectarine, lemon slices, lemon juice, lime slices, lime juice, ginger, and melissa leaves in a large pitcher; mash gently with a wooden spoon. Pour in water, stir, and refrigerate until flavors blend, 2 hours to overnight. Strain; serve over ice.",5,https://www.allrecipes.com/recipe/246155/flavored-water/,"Prep Time: 15 mins, Additional Time: 2 hrs, Total Time: 2 hrs 15 mins, Servings: 8, Yield: 2 liters",https://www.allrecipes.com/thmb/5i4We_W0OE_ae8gL8kbAPaT4rGc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3407928-1c5cdfbc03ea4dfcb5a503d1f0339131.jpg,Drinks,Light,"Cucumber, Nectarine, Lemon, Lime, Ginger, Lemon balm, Water, SteviaCucumber, Nectarine, Lemon, Lime, Ginger, Lemon balm, Water, Stevia"
93,"Warm Lemon, Honey, and Ginger Soother",5 mins,,10 mins,4,4 cups,"¼ cup honey, or to taste, 1  lemon, juiced, 1 tablespoon finely grated ginger root, ¼ teaspoon ground cinnamon, 3 ½ cups boiling water","Place honey, lemon juice, ginger, and cinnamon in a teapot or 4-cup glass measuring beaker with spout. Pour boiling water over mixture; stir until honey is dissolved.
Cover the teapot and let steep for 5 minutes. The ginger should sink to the bottom but may be strained while pouring into a mug.",5,https://www.allrecipes.com/recipe/256236/warm-lemon-honey-and-ginger-soother/,"Prep Time: 5 mins, Additional Time: 5 mins, Total Time: 10 mins, Servings: 4, Yield: 4 cups",https://www.allrecipes.com/thmb/nwD8sn7pzBtA0MB9N7NUnUerrQo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8078652_Warm-Lemon-Honey-and-Ginger-Soother-4x3-1-2000-0ce26db9c36a41b1923185db4cb2cc82.jpg,Drinks,Light,"Honey, Lemon, Ginger, Cinnamon, Water"
94,Pawpaw (Papaya) And Mango Punch,10 mins,,10 mins,8,8 servings,"1 cup sliced mango, 1 cup diced, peeled papaya, 1 cup orange juice, ¼ cup lime juice, ¼ cup white sugar, or to taste, 1 teaspoon grated orange zest, 4 cups water","Place the mango and papaya into a blender. Cover, and puree until smooth; add the orange juice, lime juice, sugar, orange zest, and water. Blend well. Serve over crushed ice.",5,https://www.allrecipes.com/recipe/173746/pawpaw-papaya-and-mango-punch/,"Prep Time: 10 mins, Total Time: 10 mins, Servings: 8, Yield: 8 servings",https://www.allrecipes.com/thmb/3CGDhT9yQR_VcrFFv3_o8YNAvE4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/239405-8883d43565cf421bb11c9f7a8e61bf1b.jpg,Drinks,Sour,"Mango, Papaya, Orange, Lime, Sugar, Water"
95,Pineapple-Infused Vodka,10 mins,,10 days 10 mins,17,17 servings,"1  fresh pineapple, peeled and sliced, 1 (750 milliliter) bottle vodka (such as Stolichnaya®)","Stack pineapple slices in a circle around the edges of a large glass jar, leaving the center open. Pour vodka into jar, completely covering pineapple. Seal jar and store in a cool, dark place for 10 days.
Remove pineapple and strain vodka through a mesh strainer back into a jar; seal and refrigerate.",5,https://www.allrecipes.com/recipe/238576/pineapple-infused-vodka/,"Prep Time: 10 mins, Additional Time: 10 days, Total Time: 10 days 10 mins, Servings: 17, Yield: 17 servings",https://www.allrecipes.com/thmb/al2qCMM62YpoZIOU85-BUE3eFWI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2193086-752c24c5dcdf4731959d3efdbf6e50fc.jpg,Drinks,Light,"Pineapple,Water"
96,Door County Cherry Bounce,10 mins,,19 days 17 hrs 12 mins,10,1 quart,"2 cups pitted tart cherries (such as Door County cherries), ⅓ cup white sugar, or to taste, 1 cup vodka, or as needed","Put cherries in a clean, 1-quart glass jar; add sugar. Fill the rest of the jar with vodka. Place lid on jar and shake.
Store jar in a cool, dark area for 1 to 4 months, shaking jar occasionally.",5,https://www.allrecipes.com/recipe/244754/door-county-cherry-bounce/,"Prep Time: 10 mins, Additional Time: 19 days 17 hrs 2 mins, Total Time: 19 days 17 hrs 12 mins, Servings: 10, Yield: 1 quart",https://www.allrecipes.com/thmb/gdkJ7fo8aPiikqV18MsgTNtsOTY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4542741-door-county-cherry-bounce-Leslie-Kelly-4x3-1-174a9e4fc7b64d8087c3d09f649ebedb.jpg,Drinks,Light,"Cherry, Sugar,Water"
97,Monte Carlo Cocktail,5 mins,,5 mins,1,1 cocktail,"  ice, 2 fluid ounces rye whiskey, ¾ fluid ounce Benedictine liqueur, 2 dashes aromatic bitters (such as Peychaud's®, 1  maraschino cherry",Fill a cocktail shaker with ice. Pour in whiskey and Benedictine. Shake in bitters. Cover and shake well. Strain into a chilled glass. Garnish with maraschino cherry.,5,https://www.allrecipes.com/recipe/217221/monte-carlo-cocktail/,"Prep Time: 5 mins, Total Time: 5 mins, Servings: 1, Yield: 1 cocktail",https://www.allrecipes.com/thmb/yDYt9QvVrzRz0LzP2Irp-Ee41O4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5990112-monte-carlo-cocktail-Diana-Moutsopoulos-4x3-1-9258774a472e4056af14558b6f3bf91a.jpg,Drinks,Light,"Ice, Cherry,Water"
98,Pomegranate Holiday Cocktail,5 mins,,5 mins,2,2 cocktails,"3 cups ice, or as needed, 2 fluid ounces vodka, 2 fluid ounces pomegranate juice, 1  lime, juiced, ½ fluid ounce orange-flavored liqueur, 2 ½ fluid ounces club soda, or as needed, 1 teaspoon pomegranate seeds, or to taste","Fill 2 highball glasses and a cocktail shaker with ice.
Add vodka, pomegranate juice, lime juice, and orange-flavored liqueur to the cocktail shaker and secure the lid. Place one hand on the lid and one hand on the shaker; shake vigorously until the outside of the shaker frosts, about a slow count to 10.
Pour evenly into the prepared glasses. Top with soda and pomegranate seeds; stir before serving.",5,https://www.allrecipes.com/recipe/276186/pomegranate-holiday-cocktail/,"Prep Time: 5 mins, Total Time: 5 mins, Servings: 2, Yield: 2 cocktails",https://www.allrecipes.com/thmb/soG8iIRTTXXp346oWmR7Q4YHK5g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25967-4x3-1-05644c4aeb014d16a8468f6eb7ce4dcf.jpg,Drinks,Light,"Ice, Pomegranate, Lime, Soda"
99,White Peachy Sangria,30 mins,,8 hrs 30 mins,20,20 servings,"4 (750 milliliter) bottles moscato wine, 4 (12 fluid ounce) cans or bottles lemon-lime soda (such as Sprite®), 1 cup brandy, 1 cup peach schnapps, 2  fresh peaches, pitted and sliced, 1 (16 ounce) package fresh strawberries, sliced, 2  mangos - peeled, seeded, and sliced, ½  fresh pineapple - peeled, cored, and cut into chunks, 1 (6 ounce) container fresh raspberries","Stir moscato wine, lemon-lime soda, brandy, peach schnapps, peaches, strawberries, mangos, pineapple chunks, and raspberries together in a large container and chill 8 hours or overnight.",4.9,https://www.allrecipes.com/recipe/223329/white-peachy-sangria/,"Prep Time: 30 mins, Additional Time: 8 hrs, Total Time: 8 hrs 30 mins, Servings: 20, Yield: 20 servings",https://www.allrecipes.com/thmb/uz0pOWl7xju8N7kpWz_2HCIbhZE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/223329-White-Peachy-Sangria-Caelynne_5455009_original-4x3-1-8a93bc5db2404e3b84c49b8d671d9cbf.jpg,Drinks,Light,"Soda, Peach, Strawberry, Mango, Pineapple, Raspberry"
100,Tom Collins Cocktail,5 mins,,5 mins,1,,"2 ½ cups ice, divided, 2 fluid ounces gin, ¾ fluid ounce lemon juice, ½ fluid ounce simple syrup, 2 fluid ounces club soda, 1  lemon wedge","Fill a Collins glass with 1 1/2 cups ice; set aside in the freezer.
Combine gin, lemon juice, and simple syrup in a cocktail shaker. Add 1 cup ice, cover, and shake until chilled.
Strain into the chilled Collins glass. Top with club soda and garnish with lemon wedge.











lutzflcat
",4.9,https://www.allrecipes.com/recipe/222511/tom-collins-cocktail/,"Prep Time: 5 mins, Total Time: 5 mins, Servings: 1",https://www.allrecipes.com/thmb/r_vCyAzs5xQCVM-wMgV4RsdYqs4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1060494-tom-collins-cocktail-lutzflcat-1x1-1-481882f52cce47088d1a39ea5fa6ec01.jpg,Drinks,Sour,"Ice, Lemon, Simple syrup, Soda"
